title,language,genre,avg_vote
Moondram Pirai,Tamil,"Drama, Romance",8.6
96,Tamil,"Drama, Romance",8.6
Mouna Ragam,Tamil,"Drama, Romance",8.5
Alai Payuthey,Tamil,"Drama, Musical, Romance",8.3
Yazh,Tamil,"Romance, Thriller, War",8.3
Roja,Tamil,"Drama, Romance, Thriller",8.2
Guna,Tamil,"Drama, Romance",8.2
Paruthiveeran,Tamil,"Action, Drama, Romance",8.2
Sillu Karuppatti,Tamil,"Drama, Romance",8.2
Bombay,Tamil,"Drama, Musical, Romance",8.1
Sethu,Tamil,"Action, Drama, Romance",8.1
Kadalikka Neramillai,Tamil,"Comedy, Romance",8.1
Venpa,Tamil,Romance,8.1
Pathinaru Vayathinile,Tamil,"Drama, Romance",8
Mozhi,Tamil,"Comedy, Musical, Romance",8
Vaaranam Aayiram,Tamil,"Drama, Musical, Romance",8
Vinnaithaandi Varuvaayaa,Tamil,"Drama, Romance",8
Vaagai Sooda Vaa,Tamil,"Comedy, Drama, Romance",8
Vaalee,Tamil,"Romance, Thriller",7.9
Chennai 600028,Tamil,"Comedy, Romance, Sport",7.9
Server Sundaram,Tamil,"Comedy, Drama, Romance",7.8
Madrasapattinam,Tamil,"Drama, History, Romance",7.8
Poove Unakkaga,Tamil,"Comedy, Drama, Romance",7.8
Cuckoo,Tamil,"Drama, Romance",7.8
Autograph,Tamil,Romance,7.7
Thulladha Manamum Thullum,Tamil,"Drama, Romance",7.7
Kannum Kannum Kollaiyadithaal,Tamil,"Drama, Romance, Thriller",7.7
Kandukondain Kandukondain,Tamil,"Drama, Romance",7.6
Kadhalukku Mariyadhai,Tamil,"Drama, Romance",7.6
Aasai,Tamil,"Drama, Romance, Thriller",7.6
Mounam Pesiyadhe,Tamil,"Drama, Romance",7.6
Ghilli,Tamil,"Action, Romance",7.6
Mayakkam Enna,Tamil,"Drama, Romance",7.6
Raja Rani,Tamil,"Comedy, Drama, Romance",7.6
Mundaasupatti,Tamil,"Comedy, Drama, Romance",7.6
Apoorva Raagangal,Tamil,"Drama, Romance",7.5
Rhythm,Tamil,"Drama, Musical, Romance",7.5
Friends,Tamil,"Drama, Comedy, Romance",7.5
Kadhal Kottai,Tamil,"Drama, Romance",7.5
